,product_name,product_price,product_memory,product_color,product_url,img_url
1, iPhone 14 Pro Max 128GB | Chính hãng VN/A ,26.790.000 đ,128GB,Vàng,https://cellphones.com.vn/iphone-14-pro-max.html,"https://cdn2.cellphones.com.vn/x358,webp,q100/media/catalog/product/t/_/t_m_18.png"
2, iPhone 14 Pro Max 128GB | Chính hãng VN/A ,26.790.000 đ,128GB,Bạc,https://cellphones.com.vn/iphone-14-pro-max.html,"https://cdn2.cellphones.com.vn/x358,webp,q100/media/catalog/product/t/_/t_m_18.png"
3, iPhone 14 Pro Max 128GB | Chính hãng VN/A ,26.790.000 đ,128GB,Đen,https://cellphones.com.vn/iphone-14-pro-max.html,"https://cdn2.cellphones.com.vn/x358,webp,q100/media/catalog/product/t/_/t_m_18.png"
4, iPhone 14 Pro Max 128GB | Chính hãng VN/A ,26.790.000 đ,128GB,Tím,https://cellphones.com.vn/iphone-14-pro-max.html,"https://cdn2.cellphones.com.vn/x358,webp,q100/media/catalog/product/t/_/t_m_18.png"
5, iPhone 14 Plus 128GB | Chính hãng VN/A ,21.390.000 đ,128GB,Đen,https://cellphones.com.vn/iphone-14-plus.html,"https://cdn2.cellphones.com.vn/x358,webp,q100/media/catalog/product/p/h/photo_2022-09-28_21-58-51_4.jpg"
6, iPhone 14 Plus 128GB | Chính hãng VN/A ,21.390.000 đ,128GB,Đỏ,https://cellphones.com.vn/iphone-14-plus.html,"https://cdn2.cellphones.com.vn/x358,webp,q100/media/catalog/product/p/h/photo_2022-09-28_21-58-51_4.jpg"
7, iPhone 14 Plus 128GB | Chính hãng VN/A ,21.390.000 đ,128GB,Trắng,https://cellphones.com.vn/iphone-14-plus.html,"https://cdn2.cellphones.com.vn/x358,webp,q100/media/catalog/product/p/h/photo_2022-09-28_21-58-51_4.jpg"
8, iPhone 14 Plus 128GB | Chính hãng VN/A ,21.390.000 đ,128GB,Tím,https://cellphones.com.vn/iphone-14-plus.html,"https://cdn2.cellphones.com.vn/x358,webp,q100/media/catalog/product/p/h/photo_2022-09-28_21-58-51_4.jpg"
9, iPhone 14 Plus 128GB | Chính hãng VN/A ,21.390.000 đ,128GB,Vàng,https://cellphones.com.vn/iphone-14-plus.html,"https://cdn2.cellphones.com.vn/x358,webp,q100/media/catalog/product/p/h/photo_2022-09-28_21-58-51_4.jpg"
10, iPhone 14 Plus 128GB | Chính hãng VN/A ,21.390.000 đ,128GB,Xanh,https://cellphones.com.vn/iphone-14-plus.html,"https://cdn2.cellphones.com.vn/x358,webp,q100/media/catalog/product/p/h/photo_2022-09-28_21-58-51_4.jpg"
11, ASUS ROG Phone 5S 16GB 256GB ,17.690.000 đ,16GB 256GB,Bạc,https://cellphones.com.vn/asus-rog-phone-5s.html,"https://cdn2.cellphones.com.vn/x358,webp,q100/media/catalog/product/a/s/asus-rog-phone-5_0002_gsmarena_001_3_1.jpg"
12, ASUS ROG Phone 5S 16GB 256GB ,17.690.000 đ,16GB 256GB,Đen,https://cellphones.com.vn/asus-rog-phone-5s.html,"https://cdn2.cellphones.com.vn/x358,webp,q100/media/catalog/product/a/s/asus-rog-phone-5_0002_gsmarena_001_3_1.jpg"
13, iPhone 14 Plus 256GB | Chính hãng VN/A ,23.590.000 đ,256GB,Vàng,https://cellphones.com.vn/iphone-14-plus-256gb.html,"https://cdn2.cellphones.com.vn/x358,webp,q100/media/catalog/product/p/h/photo_2022-09-28_21-58-51_6.jpg"
14, iPhone 14 Plus 256GB | Chính hãng VN/A ,23.590.000 đ,256GB,Đen,https://cellphones.com.vn/iphone-14-plus-256gb.html,"https://cdn2.cellphones.com.vn/x358,webp,q100/media/catalog/product/p/h/photo_2022-09-28_21-58-51_6.jpg"
15, iPhone 14 Plus 256GB | Chính hãng VN/A ,23.590.000 đ,256GB,Tím,https://cellphones.com.vn/iphone-14-plus-256gb.html,"https://cdn2.cellphones.com.vn/x358,webp,q100/media/catalog/product/p/h/photo_2022-09-28_21-58-51_6.jpg"
16, iPhone 14 Plus 256GB | Chính hãng VN/A ,23.590.000 đ,256GB,Trắng,https://cellphones.com.vn/iphone-14-plus-256gb.html,"https://cdn2.cellphones.com.vn/x358,webp,q100/media/catalog/product/p/h/photo_2022-09-28_21-58-51_6.jpg"
17, iPhone 14 Plus 256GB | Chính hãng VN/A ,23.590.000 đ,256GB,Đỏ,https://cellphones.com.vn/iphone-14-plus-256gb.html,"https://cdn2.cellphones.com.vn/x358,webp,q100/media/catalog/product/p/h/photo_2022-09-28_21-58-51_6.jpg"
18, iPhone 14 Plus 256GB | Chính hãng VN/A ,23.590.000 đ,256GB,Xanh,https://cellphones.com.vn/iphone-14-plus-256gb.html,"https://cdn2.cellphones.com.vn/x358,webp,q100/media/catalog/product/p/h/photo_2022-09-28_21-58-51_6.jpg"
19, Xiaomi 11 Lite 5G NE ,6.790.000 đ,128GB,Hồng,https://cellphones.com.vn/xiaomi-11-lite-5g-ne.html,"https://cdn2.cellphones.com.vn/x358,webp,q100/media/catalog/product/x/i/xiaomi-11-lite-5g-014_1.jpg"
20, Xiaomi 11 Lite 5G NE ,6.790.000 đ,128GB,Trắng,https://cellphones.com.vn/xiaomi-11-lite-5g-ne.html,"https://cdn2.cellphones.com.vn/x358,webp,q100/media/catalog/product/x/i/xiaomi-11-lite-5g-014_1.jpg"
21, Xiaomi 11 Lite 5G NE ,6.790.000 đ,128GB,Đen,https://cellphones.com.vn/xiaomi-11-lite-5g-ne.html,"https://cdn2.cellphones.com.vn/x358,webp,q100/media/catalog/product/x/i/xiaomi-11-lite-5g-014_1.jpg"
22, Xiaomi 11 Lite 5G NE ,6.790.000 đ,128GB,Xanh,https://cellphones.com.vn/xiaomi-11-lite-5g-ne.html,"https://cdn2.cellphones.com.vn/x358,webp,q100/media/catalog/product/x/i/xiaomi-11-lite-5g-014_1.jpg"
23, Samsung Galaxy A14 4G ,3.990.000 đ,128GB,Đỏ,https://cellphones.com.vn/samsung-galaxy-a14-4g.html,"https://cdn2.cellphones.com.vn/x358,webp,q100/media/catalog/product/s/a/samsung-galaxy-a14-4g.jpg"
24, Samsung Galaxy A14 4G ,3.990.000 đ,128GB,Đen,https://cellphones.com.vn/samsung-galaxy-a14-4g.html,"https://cdn2.cellphones.com.vn/x358,webp,q100/media/catalog/product/s/a/samsung-galaxy-a14-4g.jpg"
25, Samsung Galaxy A14 4G ,3.990.000 đ,128GB,Bạc,https://cellphones.com.vn/samsung-galaxy-a14-4g.html,"https://cdn2.cellphones.com.vn/x358,webp,q100/media/catalog/product/s/a/samsung-galaxy-a14-4g.jpg"
26, Samsung Galaxy A14 5G ,4.690.000 đ,128GB,Bạc,https://cellphones.com.vn/samsung-galaxy-a14.html,"https://cdn2.cellphones.com.vn/x358,webp,q100/media/catalog/product/s/a/samsung-galaxy-a14_1_.jpg"
