,product_name,product_price,product_memory,product_color,product_url,img_url
1,iPhone 14 Pro Max 128GB,26.390.000₫,128GB,Space Black,https://shopdunk.com/iphone-14-pro-max,https://shopdunk.com/images/thumbs/0007808_iphone-14-pro-max-128gb.png
2,iPhone 14 Pro Max 128GB,26.390.000₫,128GB,Silver,https://shopdunk.com/iphone-14-pro-max,https://shopdunk.com/images/thumbs/0007808_iphone-14-pro-max-128gb.png
3,iPhone 14 Pro Max 128GB,26.390.000₫,128GB,Gold,https://shopdunk.com/iphone-14-pro-max,https://shopdunk.com/images/thumbs/0007808_iphone-14-pro-max-128gb.png
4,iPhone 14 Pro Max 128GB,26.390.000₫,128GB,Deep Purple,https://shopdunk.com/iphone-14-pro-max,https://shopdunk.com/images/thumbs/0007808_iphone-14-pro-max-128gb.png
5,iPhone 14 Pro Max 1TB,41.990.000₫,1TB,Space Black,https://shopdunk.com/iphone-14-pro-max-1tb,https://shopdunk.com/images/thumbs/0008174_iphone-14-pro-max-1tb.png
6,iPhone 14 Pro Max 1TB,41.990.000₫,1TB,Silver,https://shopdunk.com/iphone-14-pro-max-1tb,https://shopdunk.com/images/thumbs/0008174_iphone-14-pro-max-1tb.png
7,iPhone 14 Pro Max 1TB,41.990.000₫,1TB,Gold,https://shopdunk.com/iphone-14-pro-max-1tb,https://shopdunk.com/images/thumbs/0008174_iphone-14-pro-max-1tb.png
8,iPhone 14 Pro Max 1TB,41.990.000₫,1TB,Deep Purple,https://shopdunk.com/iphone-14-pro-max-1tb,https://shopdunk.com/images/thumbs/0008174_iphone-14-pro-max-1tb.png
9,iPhone 14 Pro Max 512GB,35.890.000₫,512GB,Space Black,https://shopdunk.com/iphone-14-pro-max-512gb,https://shopdunk.com/images/thumbs/0008133_iphone-14-pro-max-512gb.png
10,iPhone 14 Pro Max 512GB,35.890.000₫,512GB,Silver,https://shopdunk.com/iphone-14-pro-max-512gb,https://shopdunk.com/images/thumbs/0008133_iphone-14-pro-max-512gb.png
11,iPhone 14 Pro Max 512GB,35.890.000₫,512GB,Gold,https://shopdunk.com/iphone-14-pro-max-512gb,https://shopdunk.com/images/thumbs/0008133_iphone-14-pro-max-512gb.png
