product_name,product_price,product_memory,product_color,product_url,img_url
 iPhone 14 Pro Max 128GB | Chính hãng VN/A ,26.790.000 đ,128 GB(128GB),Vàng,https://cellphones.com.vn/iphone-14-pro-max.html,"https://cdn2.cellphones.com.vn/x358,webp,q100/media/catalog/product/t/_/t_m_18.png"
 iPhone 14 Pro Max 128GB | Chính hãng VN/A ,26.790.000 đ,128 GB(128GB),Bạc,https://cellphones.com.vn/iphone-14-pro-max.html,"https://cdn2.cellphones.com.vn/x358,webp,q100/media/catalog/product/t/_/t_m_18.png"
 iPhone 14 Pro Max 128GB | Chính hãng VN/A ,26.790.000 đ,128 GB(128GB),Đen,https://cellphones.com.vn/iphone-14-pro-max.html,"https://cdn2.cellphones.com.vn/x358,webp,q100/media/catalog/product/t/_/t_m_18.png"
 iPhone 14 Pro Max 128GB | Chính hãng VN/A ,26.790.000 đ,128 GB(128GB),Tím,https://cellphones.com.vn/iphone-14-pro-max.html,"https://cdn2.cellphones.com.vn/x358,webp,q100/media/catalog/product/t/_/t_m_18.png"
 iPhone 14 Plus 128GB | Chính hãng VN/A ,21.390.000 đ,128 GB(128GB),Đen,https://cellphones.com.vn/iphone-14-plus.html,"https://cdn2.cellphones.com.vn/x358,webp,q100/media/catalog/product/p/h/photo_2022-09-28_21-58-51_4.jpg"
 iPhone 14 Plus 128GB | Chính hãng VN/A ,21.390.000 đ,128 GB(128GB),Đỏ,https://cellphones.com.vn/iphone-14-plus.html,"https://cdn2.cellphones.com.vn/x358,webp,q100/media/catalog/product/p/h/photo_2022-09-28_21-58-51_4.jpg"
 iPhone 14 Plus 128GB | Chính hãng VN/A ,21.390.000 đ,128 GB(128GB),Trắng,https://cellphones.com.vn/iphone-14-plus.html,"https://cdn2.cellphones.com.vn/x358,webp,q100/media/catalog/product/p/h/photo_2022-09-28_21-58-51_4.jpg"
 iPhone 14 Plus 128GB | Chính hãng VN/A ,21.390.000 đ,128 GB(128GB),Tím,https://cellphones.com.vn/iphone-14-plus.html,"https://cdn2.cellphones.com.vn/x358,webp,q100/media/catalog/product/p/h/photo_2022-09-28_21-58-51_4.jpg"
 iPhone 14 Plus 128GB | Chính hãng VN/A ,21.390.000 đ,128 GB(128GB),Vàng,https://cellphones.com.vn/iphone-14-plus.html,"https://cdn2.cellphones.com.vn/x358,webp,q100/media/catalog/product/p/h/photo_2022-09-28_21-58-51_4.jpg"
 iPhone 14 Plus 128GB | Chính hãng VN/A ,21.390.000 đ,128 GB(128GB),Xanh,https://cellphones.com.vn/iphone-14-plus.html,"https://cdn2.cellphones.com.vn/x358,webp,q100/media/catalog/product/p/h/photo_2022-09-28_21-58-51_4.jpg"
