product_name,product_memory,product_color,product_price,product_url,img_url
Điện thoại ASUS ROG Phone 7 16GB/512GB (Snapdragon 8 plus Gen2),- Bộ nhớ: 512GB,Màu sắc: Phantom Black,24.990.000,https://phongvu.vn/dien-thoai-asus-rog-phone-7-16gb-512gb-snapdragon-8-gen2--p513221,https://lh3.googleusercontent.com/4Xc3fZhZ9Zgm8RNvVDNJBGN6Y4jL3mpJWnkKTwV9Cj7HHW4WShNTjTeabkzGDwQNcJmy_fOnlWfpzTLQEu9qd6a2FRbUwzTNFw=w500-rw
Điện thoại ASUS ROG Phone 7 Ultimate 16GB/512GB (AI2205-5D034WW) (Snapdragon 8+ Gen2) (Storm White),- Bộ nhớ: 512GB,Màu sắc: Storm White,29.990.000,https://phongvu.vn/dien-thoai-asus-rog-phone-7-ultimate-16gb-512gb-ai2205-5d034ww-snapdragon-8-gen2-storm-white--s230500081,https://lh3.googleusercontent.com/rg9pP0uVTseTfV70QPZeLjrmEv6Ygo_5G7ZH7j-kSIrkaKIohxK6uhIM5DN2nEZ54lcCrC2NLpxtOg7SpfPX_UbsPMCAmCU=w500-rw
"Điện thoại di động Vivo V2204- Y16 (4+128GB) (Đen) (128GB, Black)",- Bộ nhớ: 128GB,Màu sắc: Black,4.150.000,https://phongvu.vn/dien-thoai-di-dong-vivo-v2204-y16-4-128gb-den-128gb-black--s230203712,https://lh3.googleusercontent.com/D3c6xeUE2G2zZMs2lE7YtKBEEr4laxwgCeMCdUSpVcL7kW-uh1Sxlzbe_vDk8Uxkdi3MtIgNb21SCbwNPaf2P8qT-Miqd-uD=w500-rw
Điện thoại Samsung Galaxy A14 5G 4GB/128GB,- Bộ nhớ: 128GB,Màu sắc: Black,4.890.000,https://phongvu.vn/samsung-galaxy-a14-5g-128g--p471199,https://lh3.googleusercontent.com/O60Z3funnLBpLuM6JGMcaQyTKh179nbb4tvalAdVSQOyMvKu2AcTxrCNWaimRJlIXfGh0DrgjyzP1TiCwtHp7rYRv9dQSye8iQ=w500-rw
Điện thoại Samsung Galaxy A04s 4GB/64GB,- Bộ nhớ: 64GB,Màu sắc: Green,3.190.000,https://phongvu.vn/samsung-galaxy-a04s-4gb-64gb--p468120,https://lh3.googleusercontent.com/RpVbhQ50NskSwRSxtHRK8uOZOMnQz2fmXseXUw4pqNGGrpisiouk3peRzANnz_WOHi5Vryv5jpFtYA-uJh5rpdcT66OmVIP_=w500-rw
Điện thoại Samsung Galaxy S21 FE 5G 8GB/128GB,- Bộ nhớ: 128GB,Màu sắc: Olive,11.790.000,https://phongvu.vn/samsung-galaxy-s21-fe-5g-8gb-128gb--p466801,https://lh3.googleusercontent.com/pUweUhbxNV7vV8CKDbFULAOp3RfiaOJBMlSedc75IPJ7XegFrak80Nm7j7I84XeWaKWrLhYv_nfARuCm56TCGW-vBmooOsjqMw=w500-rw
Điện thoại Samsung Galaxy A23 5G 4GB/128GB,- Bộ nhớ: 128GB,Màu sắc: Black,6.190.000,https://phongvu.vn/samsung-galaxy-a23-4gb-128gb--p467180,https://lh3.googleusercontent.com/JESNL14Gq9Typp1IP3SmuzHddjRsl_ETPpk5Y6XOS8lMvlLpYhsQPHIq3CTihmK10-p8KI0AWT8U4OuhRkK6ZSYGB4Aobn0=w500-rw
Điện thoại Samsung Galaxy A73 5G 8GB/128GB,- Bộ nhớ: 128GB,Màu sắc: Mint,8.490.000,https://phongvu.vn/samsung-galaxy-a73-5g-8gb-128gb--p466798,https://lh3.googleusercontent.com/iN6P9Hv1P7ST8cckH0P1STqtOHAKWGz0Z4fV_AXbNDpeKyBPmmynyuqtbxPDq3pb5t9IcV1LyfXapZoJA9odfUvC_RZcWe6B=w500-rw
Điện thoại Samsung Galaxy A33 5G 6GB/128GB,- Bộ nhớ: 128GB,Màu sắc: Peach,6.990.000,https://phongvu.vn/samsung-galaxy-a33-5g-6gb-128gb--p466797,https://lh3.googleusercontent.com/czcFdKu_mk2DT3SZDh8CjEFEXlfg3T5T-ZPesRZN58oeTbBmQ1gmBCfP4M0yIFqdq1t07K96y5Nw6F1C6zIZ8FJhprSvASoZ=w500-rw
Điện thoại Samsung Galaxy A73 5G 8GB/128GB,- Bộ nhớ: 128GB,Màu sắc: Gray,11.690.000,https://phongvu.vn/samsung-galaxy-a73-5g-8gb-128gb--p466798,https://lh3.googleusercontent.com/OEp9wG3DV-yHLldL3MpykJ7HhmO-1js-IB49ba-8u2-XGfRbBmDs9xuCZakdxpEWRUUVR-qievzKk5eVFdM7ttvg8Sm6X_uS=w500-rw
iPhone 14 Pro | Chính Hãng VNA,- Bộ nhớ: 128GB,Màu sắc: Space Black,24.990.000,https://phongvu.vn/iphone-14-pro--p459616,https://lh3.googleusercontent.com/ilPFqawQUmSYOAhP0zySjvrf4yqcIuv9ePIShwrpwcME04mY7MJuO2D8CdaDAeM6cruf_fMk14Y3gV8mdtkNhS7uzcSnKjgm=w500-rw
iPhone 14 Pro | Chính Hãng VNA,- Bộ nhớ: 128GB,Màu sắc: Silver,25.290.000,https://phongvu.vn/iphone-14-pro--p459616,https://lh3.googleusercontent.com/VYAQpQJgced0a1xBWbr5mbFQiBzevgIo-V_SKVXIDV0et24IVNllS-qKZN1hkMHAYajG9Rawp1nYgCS6QlRqbkWb9eM2kMg=w500-rw
Điện thoại Samsung Galaxy A23 4GB/128GB,- Bộ nhớ: 128GB,Màu sắc: Blue,5.390.000,https://phongvu.vn/samsung-galaxy-a23--p420347,https://lh3.googleusercontent.com/ruSSokgIpPP6zyrJf3s0YR-bwhTz3-F0BxVXKCOX0o5KNcbOkob2zo0T2HxnyNFTxjr8tAKdrAfGS1EQuCHesFP0hvNiiydJ=w500-rw
Điện thoại Samsung Galaxy A13 4GB/128GB,- Bộ nhớ: 128GB,Màu sắc: Black,3.990.000,https://phongvu.vn/samsung-galaxy-a13--p420345,https://lh3.googleusercontent.com/reIEo1BEnG01zrYRDMhb77U50S79xlT2_LYBHzXDbLyONWXupw-7st3sA4PKpqR32u92SWbFwR-hiS16c32dS7jPLLCAq7up=w500-rw
TP-Link Neffos N150,Độ phân giải điện thoại QVGA(240*320) 167PPI,Màu sắc: Black,600.000,https://phongvu.vn/tp-link-neffos-n150--p420144,https://lh3.googleusercontent.com/dlTrlFzWV6fJUlpODuSPoDSGPUFOC3kWKrqgUzUP9Z32LVSrr4_PE-U7jvQDxNt-cW1OL-_mytic4Y-__kUvltAdkKCXxrjDpw=w500-rw
TP-Link Neffos N105,"Loại màn hình điện thoại 1.77""",Màu sắc: Black,800.000,https://phongvu.vn/tp-link-neffos-n105--p420143,https://lh3.googleusercontent.com/RA-GDi1ZPHvBtvt-lYyurWhSfzDg6nNGGjWUXcG84bLqI2onLEfVXAdCMUOwZ8dz0TSmOtYD3heacNYYXDxRRX-7Q6XaROA=w500-rw
Điện thoại Samsung Galaxy A53 5G 8GB/128GB,- Bộ nhớ: 128GB,Màu sắc: Blue,9.590.000,https://phongvu.vn/samsung-galaxy-a53-5g--p418925,https://lh3.googleusercontent.com/Oea3qRYweE0VKShlm36L8jP9yo6-pm8OzGrchG-zLLr1LvKWG_YMXiuITT1iazkaCv-cRJiKmqiJiNwbc8d1Pk_GVSC-EOU=w500-rw
iPhone 14 Pro | Chính Hãng VNA,- Bộ nhớ: 256GB,Màu sắc: Silver,27.990.000,https://phongvu.vn/iphone-14-pro--p459616,https://lh3.googleusercontent.com/gN_X8XpefBnKcvH_r0tXrAI5QSXELUJJ04bAkXOUr97YJVtFpN89xiTmBPWNnEzsVowGcgn0JlyFKpZGjBW-5KLBC0wtAYfR=w500-rw
iPhone 14 Pro | Chính Hãng VNA,- Bộ nhớ: 512GB,Màu sắc: Silver,33.190.000,https://phongvu.vn/iphone-14-pro--p459616,https://lh3.googleusercontent.com/pBmUZGr43UoeyzufNTfsuQAdNo8c030UPN5_9pPfNYsoTeBMOIXr7AP0eGumD3tYVqkTWbZ5AGPwJ1-lwlMTZEh7QOB78Gs=w500-rw
iPhone 14 Pro | Chính Hãng VNA,- Bộ nhớ: 1TB,Màu sắc: Silver,34.990.000,https://phongvu.vn/iphone-14-pro--p459616,https://lh3.googleusercontent.com/q4NiTRLKB_bzDA2Z8L01pcjEzRZrEfkg7-zB7CypzV9LXSBK8bD1GdXdu9UWwI-hNzK8ydbnNUaynokebi6y0p5rQreyQ_U=w500-rw
iPhone 14 Pro | Chính Hãng VNA,- Bộ nhớ: 256GB,Màu sắc: Space Black,27.990.000,https://phongvu.vn/iphone-14-pro--p459616,https://lh3.googleusercontent.com/6Qn6m5n10FU-jD0PJug16E9JGjjzG8nZpo9dU9X8UFjEJvlsNlfkYHXnMb0yp8Thn1MSwMWKlUTpRcWZ9GKDBkY7kvXDrzdB=w500-rw
